iter	Passed	Remaining
642	3474	50558
643	3481	50579
644	3486	50573
645	3491	50563
646	3496	50550
647	3501	50537
648	3506	50523
649	3513	50543
650	3518	50532
651	3524	50529
652	3529	50514
653	3533	50498
654	3539	50492
655	3546	50510
656	3551	50509
657	3556	50495
658	3561	50484
659	3565	50463
660	3571	50454
661	3579	50485
662	3584	50477
663	3588	50461
664	3594	50456
665	3599	50453
666	3604	50440
667	3611	50457
668	3616	50442
669	3622	50441
670	3627	50428
671	3631	50409
672	3636	50395
673	3643	50411
674	3648	50409
675	3653	50392
676	3658	50378
677	3663	50364
678	3668	50358
679	3672	50338
680	3680	50358
681	3685	50355
682	3690	50340
683	3695	50327
684	3700	50320
685	3705	50304
686	3712	50328
687	3717	50319
688	3723	50312
689	3727	50295
690	3732	50278
691	3737	50267
692	3744	50282
693	3749	50272
694	3754	50263
695	3759	50251
696	3764	50249
697	3770	50247
698	3777	50269
699	3783	50262
700	3787	50245
701	3793	50245
702	3798	50231
703	3803	50217
704	3810	50234
705	3815	50228
706	3820	50219
707	3825	50205
708	3830	50198
709	3835	50181
710	3842	50201
711	3847	50190
712	3852	50174
713	3856	50157
714	3861	50148
715	3867	50145
716	3874	50165
717	3879	50148
718	3884	50141
719	3889	50127
720	3894	50117
721	3898	50103
722	3904	50093
723	3911	50111
724	3916	50101
725	3920	50083
726	3924	50062
727	3929	50052
728	3934	50037
729	3941	50053
730	3947	50048
731	3952	50038
732	3956	50024
733	3961	50007
734	3966	50001
735	3974	50028
736	3979	50017
737	3984	50002
738	3989	49993
739	3994	49986
740	3999	49979
741	4004	49962
742	4012	49990
743	4016	49972
744	4021	49952
745	4026	49943
746	4030	49930
747	4036	49921
748	4043	49944
749	4049	49940
750	4053	49927
751	4058	49915
752	4063	49899
753	4068	49889
754	4075	49910
755	4080	49897
756	4085	49882
757	4090	49869
758	4095	49867
759	4101	49860
760	4108	49880
761	4113	49869
762	4118	49857
763	4123	49847
764	4128	49833
765	4132	49818
766	4139	49835
767	4144	49825
768	4149	49811
769	4155	49807
770	4160	49801
771	4164	49783
772	4172	49802
773	4176	49786
774	4182	49781
775	4186	49769
776	4191	49756
777	4197	49752
778	4201	49733
779	4209	49755
780	4214	49754
781	4220	49744
782	4224	49729
783	4229	49720
784	4234	49713
785	4242	49732
786	4247	49727
787	4252	49713
788	4257	49700
789	4262	49690
790	4267	49680
791	4274	49695
792	4279	49691
793	4284	49673
794	4289	49662
795	4294	49656
796	4299	49646
797	4307	49672
798	4313	49668
799	4317	49656
800	4322	49646
801	4327	49636
802	4333	49632
803	4341	49659
804	4346	49649
805	4352	49646
806	4356	49627
807	4362	49625
808	4368	49630
809	4374	49637
810	4379	49626
811	4384	49614
812	4389	49603
813	4394	49592
814	4399	49578
815	4406	49593
816	4411	49590
817	4416	49573
818	4420	49558
819	4426	49556
820	4431	49549
821	4439	49565
822	4444	49556
823	4448	49540
824	4453	49532
825	4458	49516
826	4463	49505
827	4470	49523
828	4475	49511
829	4480	49498
830	4484	49485
831	4490	49478
832	4494	49461
833	4502	49485
834	4507	49474
835	4512	49462
836	4517	49452
837	4522	49443
838	4526	49429
839	4533	49440
840	4539	49433
841	4544	49426
842	4549	49420
843	4553	49400
844	4558	49393
845	4566	49412
846	4571	49406
847	4576	49393
848	4581	49383
849	4586	49376
850	4592	49368
851	4596	49356
852	4604	49374
853	4609	49366
854	4614	49356
855	4619	49344
856	4624	49337
857	4629	49329
858	4637	49345
859	4642	49341
860	4647	49329
861	4652	49318
862	4657	49308
863	4661	49294
864	4669	49311
865	4674	49300
866	4678	49288
867	4683	49277
868	4689	49271
869	4694	49262
870	4702	49286
871	4707	49277
872	4712	49268
873	4717	49260
874	4723	49255
875	4729	49262
876	4734	49252
877	4739	49245
878	4744	49233
879	4749	49221
880	4754	49210
881	4759	49203
882	4767	49226
883	4772	49216
884	4777	49204
885	4781	49190
886	4803	49349
887	4808	49344
888	4813	49332
889	4819	49331
890	4824	49317
891	4831	49333
892	4836	49323
893	4840	49307
894	4846	49299
895	4850	49287
896	4855	49278
897	4862	49287
898	4867	49280
899	4872	49269
900	4877	49254
901	4882	49244
902	4887	49234
903	4892	49224
904	4899	49242
905	4905	49236
906	4910	49227
907	4915	49215
908	4920	49213
909	4928	49227
910	4933	49219
911	4938	49210
912	4942	49195
913	4947	49183
914	4952	49174
915	4957	49165
916	4964	49175
917	4969	49167
918	4974	49153
919	4979	49147
920	4984	49137
921	4990	49136
922	4998	49153
923	5004	49153
924	5008	49138
925	5013	49123
926	5017	49112
927	5022	49101
928	5030	49118
929	5036	49114
930	5040	49102
931	5046	49096
932	5050	49079
933	5056	49078
934	5064	49098
935	5069	49090
936	5075	49090
937	5081	49092
938	5086	49081
939	5094	49098
940	5098	49086
941	5103	49072
942	5108	49065
943	5114	49061
944	5119	49056
945	5126	49069
946	5132	49067
947	5137	49059
948	5142	49050
949	5147	49041
950	5152	49026
951	5159	49039
952	5164	49029
953	5170	49025
954	5174	49012
955	5180	49007
956	5185	49001
957	5193	49015
958	5198	49011
